KWHSPH,KWHCOL,KWHWTH,KWHRFG,KWHRFG1,KWHRFG2,KWHFRZ,KWHCOK,KWHMICRO,KWHCW,KWHCDR,KWHDWH,KWHLGT,KWHTVREL,KWHTV1,KWHTV2,KWHAHUHEAT,KWHAHUCOL,KWHEVAPCOL,KWHCFAN,KWHDHUM,KWHHUM,KWHPLPMP,KWHHTBPMP,KWHHTBHEAT,KWHNEC,location
863.383,2855.492,1692.299,274.614,274.614,0,0,437.632,158.537,0,0,0,1994.537,735.929,324.819,16.161,13.442,119.461,0,0,0,0,0,0,0,519.17,1
1902.167,1233.153,0,731.469,731.469,0,0,24.604,68.528,75.99,851.98,0,106.546,417.835,237.497,14.666,29.76,52.478,0,0,0,0,0,0,0,591.976,1
0,3524.829,0,910.138,480.104,430.034,0,0,257.693,67.033,0,0,1722.748,659.844,131.764,193.545,202.561,188.761,0,356.601,0,0,0,0,0,378.727,1
692.257,1379.781,1616.206,237.998,237.998,0,0,0,98.946,15.848,167.064,0,1151.489,229.702,189.821,15.614,229.36,0,0,0,0,0,0,0,0,697.253,1
5338.949,617.365,3341.286,1611.23,560.154,525.132,873.354,329.378,140.097,52.766,672.759,95.02,491.192,981.442,547.475,100.304,93.879,29.261,0,466.766,0,0,0,0,0,877.186,3
0,1870.747,0,488.198,488.198,0,0,0,40.477,62.543,703.099,0,52.964,599.695,79.419,79.486,0,88.532,0,59.764,0,0,0,0,0,6039.922,2
9242.512,1567.184,0,1242.949,743.963,264.938,0,0,72.908,149.206,1513.989,0,2497.299,696.951,556.923,0,0,0,0,0,0,0,0,0,0,868.018,3
189.445,4007.524,0,558.244,558.244,0,0,0,203.967,0,0,0,626.085,1270.082,578.782,201.067,52.38,170.974,0,0,0,0,0,0,0,2523.912,1
1905.989,209.361,2314.42,801.191,433.041,368.15,1395.501,775.363,146.265,75.906,774.405,130.118,761.382,1114.643,300.645,281.494,0,0,0,0,0,0,0,0,0,575.115,1
537.826,734.275,1133.624,268.923,268.923,0,0,10.081,28.963,0,0,0,73.226,205.722,110.219,0,0,0,0,84.265,0,0,0,0,0,116.094,1
9096.657,2422.77,1684.585,984.278,621.182,363.096,0,0,49.58,8.056,168.252,37.564,113.562,602.488,255.094,0,210.345,143.736,0,42.06,688.271,0,0,0,0,490.569,2
6994.087,729.894,1291.895,262.187,262.187,0,0,101.033,68.639,0,0,94.038,259.328,628.489,303.601,70.024,0,33.71,0,0,0,0,0,0,0,431.901,1
0,2401.111,0,656.141,296.467,359.674,0,87.164,67.087,0,0,66.699,391.738,184.883,84.797,36.55,330.741,113.966,0,0,0,299.405,0,0,0,723.643,1
0,1717.535,1204.263,465.334,465.334,0,0,103.484,0,8.537,169.345,0,349.313,39.723,15.59,0,0,0,0,181.658,0,0,0,0,0,381.279,1
666.003,118.375,573.427,1697.127,783.486,913.641,629.689,0,129.765,10.492,272.562,366.03,280.122,420.459,172.654,35.57,22.632,7.181,555.458,29.649,0,95.808,0,0,0,281.522,1
246.516,535.909,866.466,2034.571,709.065,664.836,0,315.24,186.443,65.163,669.504,192.707,1069.65,704.263,165.579,51.664,7.196,69.815,0,243.475,0,0,881.225,0,0,965.884,1
0,3973.929,0,1239.79,877.012,362.778,935.344,0,205.041,93.782,0,0,1718.161,3185.547,372.702,236.412,113.047,205.505,0,452.033,0,428.85,0,0,0,1111.22,1
